curva_00,,curva_01,,curva_02,,curva_03,
X,Y,X,Y,X,Y,X,Y
0.10843373493975905,98.4390243902439,0.0843373493975903,98.4390243902439,0.06024096385542155,82.82926829268293,0.0843373493975903,26.829268292682926
0.2530120481927709,74.4390243902439,0.13253012048192758,82.04878048780488,0.09638554216867479,69.36585365853658,0.15662650602409633,22.34146341463415
0.49397590361445776,57.853658536585364,0.2650602409638554,66.04878048780486,0.22891566265060215,52.97560975609756,0.21686746987951788,20.195121951219505
0.7831325301204819,46.34146341463414,0.5180722891566263,49.26829268292683,0.5301204819277108,37.75609756097562,0.39759036144578297,16.682926829268297
1.3855421686746991,35.21951219512195,0.8313253012048194,39.90243902439025,0.8795180722891565,30.536585365853654,0.7108433734939759,13.756097560975618
2.180722891566265,28.195121951219505,1.2409638554216866,32.6829268292683,1.5542168674698797,23.512195121951223,1.0240963855421685,11.804878048780495
2.6385542168674703,25.85365853658537,1.7469879518072293,28.195121951219505,2.385542168674699,19.414634146341456,1.6626506024096388,11.024390243902445
3.4819277108433737,22.731707317073173,2.2771084337349397,25.268292682926827,3.445783132530121,16.878048780487816,2.3373493975903616,9.658536585365866
4.253012048192771,20.78048780487805,2.843373493975904,22.34146341463415,4.566265060240964,14.926829268292678,3.0481927710843375,8.878048780487816
5.3734939759036155,19.024390243902445,3.5301204819277108,20,5.554216867469879,13.365853658536594,4.024096385542169,7.902439024390262
6.566265060240964,17.463414634146346,4.457831325301205,18.4390243902439,6.3975903614457845,12.390243902439039,5.060240963855422,7.512195121951223
7.927710843373495,15.707317073170728,5.903614457831326,15.902439024390233,7.421686746987952,11.414634146341456,6.132530120481929,7.317073170731717
9.506024096385543,14.926829268292678,6.963855421686748,15.121951219512198,8.578313253012048,11.21951219512195,7.566265060240964,6.731707317073173
9.939759036144581,14.731707317073173,8.301204819277109,13.951219512195124,9.433734939759038,10.82926829268294,8.554216867469881,6.146341463414643
,,9.168674698795181,13.170731707317074,9.891566265060241,10.243902439024396,9.590361445783135,5.951219512195124
,,9.867469879518074,12.585365853658544,,,9.891566265060241,5.951219512195124
