,Caso,f_bistable,f_flutter,U_bistable,U_flutter
0,Full,11.9,16.3,6.9647374968359745,10.2731281228846
1,Segmented rectangular,16.6,25.9,10.498700211024278,17.49143494335432
2,Segmented Triangular,11.4,20.0,6.588784016603178,13.055183876607305
